text,label
"os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8",Mac
"os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8",Mac
"os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8",Mac
"os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8",Mac
"os x        	2attrffcomapplequarantineq000153e9168agooglex20chrome20d6bbfac5a84354bd36c9a318e098a8",Mac
00629010082357 excuse me,Ses01F_impro01_F000
00757120104750 do you have your forms,Ses01F_impro01_M000
01001000113925 yeah,Ses01F_impro01_F001
01092660146649 let me see them,Ses01F_impro01_M001
01488720180175 is there a problem,Ses01F_impro01_F002
01683520197175 who told you to get in this line,Ses01F_impro01_M002
01929000207875 you did,Ses01F_impro01_F003
02132570247400 you were standing at the beginning and you directed me,Ses01F_impro01_F004
02347000280300 okay but i didnt tell you to get in this line if you are filling out this particular form,Ses01F_impro01_M003
02746000314900 well whats the problem  let me change it,Ses01F_impro01_F005
02839500312117 this form is a zxfour,Ses01F_impro01_M004
03126600393875 you cant  this is not the line for zxfour  if youre going to fill out the zxfour you need to have a different form of id,Ses01F_impro01_M005
03896500435900 what  im getting an id  this is why im here  my wallet was stolen,Ses01F_impro01_F006
04123000469800 no i need another set of id to prove this is actually you,Ses01F_impro01_M006
04658000521900 how am i supposed to get an id without an id  how does a person get an id in the first place,Ses01F_impro01_F007
05140000576400 i dont know  but i need an id to pass this form along  i cant just send it along without an id,Ses01F_impro01_M007
05616000588225 im here to get an id,Ses01F_impro01_F008
05818000625900 no  i need another id a separate one,Ses01F_impro01_M008
06187000659700 like what  like a birth certificate,Ses01F_impro01_F009
06551000730000 a birth certificate a passporta student id didnt you go to school  anything,Ses01F_impro01_M009
06642000693400 who the hell has a birth certificate,Ses01F_impro01_F010
07245000822600 yes but my wallet was stolen i dont have anything  i dont have any credit cards i dont have my id  dont you have things on file here,Ses01F_impro01_F011
08159000860300 yeah  we keep it on file but we need an id to access that file,Ses01F_impro01_M010
08527000880200 thats out of control,Ses01F_impro01_F012
08715000943900 i dont understand why this is so complicated for people when they get here  its just a simple form  i just need an id,Ses01F_impro01_M011
09367000970218 how long have you been working here,Ses01F_impro01_F013
09586000986800 actually too long,Ses01F_impro01_M012
09789001029600 clearly  you know do you have like a supervisor or something,Ses01F_impro01_F014
10184001078700 yeah  do you want to see my supervisor  huh yeah  do you want to see my supervisor  fine  ill be right back,Ses01F_impro01_M013
10397001067100 that would  i would appreciate that  yeah,Ses01F_impro01_F015
00726880166000 did you get the mail so you saw my letter,Ses01F_impro02_F000
yeah,M:
01760000206264 its not fair,Ses01F_impro02_M000
01985000227800 yeah  i know,Ses01F_impro02_F001
02176000275558 i dont understand  youve already done so much i dont know why do you have to go back,Ses01F_impro02_M001
02656590322895 i dont know  i put in that request too they didnt,Ses01F_impro02_F002
03230750379600 i guess you know everybody has to make sacrifices,Ses01F_impro02_F003
03885000450900 i dont know its just not fair  i think youve already made your sacrifice,Ses01F_impro02_M002
04734000531100 theres people that have given more though you know,Ses01F_impro02_F004
05271000590534 i just dont see how they can make you leave when you have a new baby  we have a new kid,Ses01F_impro02_M003
05875000613100 i know,Ses01F_impro02_F005
06175000650550 then why is that fair  why,Ses01F_impro02_M004
06425500684700 theres babies over there though that need mothers,Ses01F_impro02_F006
06934000742900 i dont know how you can be okay with this  i dont know why youre not youre fine with it,Ses01F_impro02_M005
07239000785700 im not okay with it but i dont its not like i have a choice  i dont see what crying about it is going to fix,Ses01F_impro02_F007
08003000869900 im just trying to think of another way  im just trying to,Ses01F_impro02_M006
08720310910900 just you know kicking myself,Ses01F_impro02_F008
09155000958800 like you sign up because you need money and,Ses01F_impro02_F009
09794001021900 things just arent what they seem,Ses01F_impro02_F010
10327001071000 this is a stupid war,Ses01F_impro02_M007
10768001110153 were doing the right thing though,Ses01F_impro02_F011
11056531132000 i know,Ses01F_impro02_M008
11417751178500 i just dont see why it has to be you,Ses01F_impro02_M009
11783001208605 if not me then who,Ses01F_impro02_F012
12041051246300 what am i going to do huh,Ses01F_impro02_M010
12782001339455 youll videotape everything yeah,Ses01F_impro02_F013
13388001371000 yeah,Ses01F_impro02_M011
13903001464300 maybe you can send it to me like stream it yeah,Ses01F_impro02_F014
14703001517101 dont you guys have access to computers over there,Ses01F_impro02_M012
15142211550100 last month  yeah,Ses01F_impro02_F015
15798001627100 i just dont know how im going to do it without you,Ses01F_impro02_M013
16354001657300 i have to find sitters,Ses01F_impro02_F016
16488501695000 i cant raise a baby by myself  how,Ses01F_impro02_M014
16936001760150 weve got friends thats why we moved here huh  because there is a day care down the street,Ses01F_impro02_F017
17547001767200 i know,Ses01F_impro02_M015
17608001791300 and your mother is close by,Ses01F_impro02_F018
18283001858894 ill send you lots of letters,Ses01F_impro02_F019
18658001911100 and i want lots and lots and lots of pictures,Ses01F_impro02_F020
19510471995200 its just not fair,Ses01F_impro02_M016
00324000054600 so whats up  whats new,Ses01F_impro03_M000
00488000077400 well vegas was awesome,Ses01F_impro03_F000
00660000086600 yeah  i heard,Ses01F_impro03_M001
00793000113700 and um i got married,Ses01F_impro03_F001
01053000138400 shut up  no in vegas,Ses01F_impro03_M002
01280000153700 yeah  in the old town part,Ses01F_impro03_F002
01493000189075 who did you marry,Ses01F_impro03_M003
01587000204867 chuck laughter,Ses01F_impro03_F003
02025320228300 did you propose to you,Ses01F_impro03_M004
02175000255200 um yes  it was very romantic,Ses01F_impro03_F004
02555840281400 it was at the slot machines,Ses01F_impro03_F005
02728000296500 oh  the wheel of fortune slots,Ses01F_impro03_M005
02837000347100 uhuh uhuh  he won big and heand he realized that the only thing that would make it better was me as his bride,Ses01F_impro03_F006
03425000363400 he turned to you and was like,Ses01F_impro03_M006
03563490401000 hey  lets get married and i said okay,Ses01F_impro03_F007
03771750404700 laughter thats really romantic,Ses01F_impro03_M007
04012000427900 yeah  well  you know because hes leaving the next day,Ses01F_impro03_F008
04209000434100 yeah,Ses01F_impro03_M008
04284000445400 but were going to have a honeymoon cruise,Ses01F_impro03_F009
04416000490700 does that mean that youre going to get citizenship too in in england or whatever,Ses01F_impro03_M009
04787000510750 oh  i hadnt even thought about that,Ses01F_impro03_F010
04961000524300 yeah  think about that,Ses01F_impro03_M010
05136000534925 hes not going to be a citizen though,Ses01F_impro03_F011
05292000568500 yeah  but hell have like a long visa  can you go visit then for a long time,Ses01F_impro03_M011
i think you can,M:
05586500581500 oh  totally,Ses01F_impro03_F012
yeah,M:
05746000613750 oh how are you going to do the long distance thing  so wait are you going to move there,Ses01F_impro03_M012
06073000658600 i guess ill  i guess ill have an internet husbandlaughter,Ses01F_impro03_F013
06564250684400 like you need another one of thoselaughter,Ses01F_impro03_M013
06801000737500 i have an internet boyfriend  i guess ill have to juggle the two  is that cheating  i dont know hmm,Ses01F_impro03_F014
07341000769975 is that your phone,Ses01F_impro03_M014
07426750788425 yeah so laughter hes calling me now,Ses01F_impro03_F015
07832000805000 he loves you,Ses01F_impro03_M015
07903500810875 he likes to keep tabs you know,Ses01F_impro03_F016
08071750825225 how much did he win at the slot,Ses01F_impro03_M016
08209750850800 uh i think seven hundred and fifty dollars,Ses01F_impro03_F017
08469250873600 really penny slots,Ses01F_impro03_M017
08510000880225 penny slots thats what he plays,Ses01F_impro03_F018
08764250890800 wow,Ses01F_impro03_M018
08808000895000 yeah,Ses01F_impro03_F019
08912000939100 im a big fan of the wheel of fortune quarters but it just costs so much  i dont know,Ses01F_impro03_M019
09123500926150 oh,Ses01F_impro03_F020
09275000982100 yeah  we played wheel of fortune pennies  its like a giant thing with like,Ses01F_impro03_F021
09703001016500 but the pennies always get you because you end up spending like you know fifty bucks,Ses01F_impro03_M020
09977751020300 fifty bucks mmhmm,Ses01F_impro03_F022
10167001043500 like wait but its just pennies  youre like wait a minute im on to you,Ses01F_impro03_M021
10262001034625 yeah,Ses01F_impro03_F023
10378001081825 well so now were married we have cat children,Ses01F_impro03_F024
10529001069500 awesome,Ses01F_impro03_M022
10771001114000 laughter cat babies,Ses01F_impro03_M023
11023001141600 we renamed brenda lumber janet,Ses01F_impro03_F025
11736001195800 thats fair enough,Ses01F_impro03_M024
11419001202000 she needs a new name each state that we go into laughter,Ses01F_impro03_F026
00274180066575 have you tried uh craigs list,Ses01F_impro04_M000
00724550116400 uh what  craigs list  oh the internet thing,Ses01F_impro04_F000
01046000121300 yeah,Ses01F_impro04_M001
01174480161500 i dont know  isnt that thats all like escort services and things like that,Ses01F_impro04_F001
01564000189000 no  theres regular jobs on there,Ses01F_impro04_M002
01860000308976 i dont know  i mean ive been looking for so long that i just figured that  i mean i think things like monster are a lot more reliable than just some random free board,Ses01F_impro04_F002
02691000287100 uh huh,Ses01F_impro04_M003
03088000355225 im just saying i have a friend that got a good job on it so i was just recommending it,Ses01F_impro04_M004
03500900378000 what kind of a job,Ses01F_impro04_F003
03719000405300 hes like a manager for a theatre,Ses01F_impro04_M005
04023000419500 really,Ses01F_impro04_F004
04054000435760 hes like a house manager yeah  its a good job,Ses01F_impro04_M006
04335000457596 he just,Ses01F_impro04_F005
04627350498300 you know what  i heard about that job  i applied for that,Ses01F_impro04_F006
04939000505800 you did,Ses01F_impro04_M007
05011000543100 yeah  i saw a posting at the theatre,Ses01F_impro04_F007
05521000563300 yeah,Ses01F_impro04_M008
hmm,M:
05437000556700 he got it,Ses01F_impro04_F008
05635000590245 youve been looking for a job for a long time that was a long time ago  right,Ses01F_impro04_M009
05871000600937 yeah,Ses01F_impro04_F009
05980000615500 hmm,Ses01F_impro04_M010
06067710665275 what did he do  what was so great  i dont understand why they would pick him over me,Ses01F_impro04_F010
06597000697700 i dont know  he had a really good resume i guess and,Ses01F_impro04_M011
06943000709400 a resume,Ses01F_impro04_F011
07038000727264 yeah  do you have a resume,Ses01F_impro04_M012
07213000747300 no,Ses01F_impro04_F012
07374730771500 its kind of helpful when getting a job,Ses01F_impro04_M013
07649000807269 i just i mean i call people up and i tell them what im good at,Ses01F_impro04_F013
08014350878100 well maybe we should sit down some time and you can just tell me all the stuff that you have done and ill write it out,Ses01F_impro04_M014
08549000869800 yeah,Ses01F_impro04_F014
08722030933300 i dont like i dont like sending things in the mail  i dont want my information out there,Ses01F_impro04_F015
09237000992700 no  you can or you can just bring it in person  but they need generally something to see you know what kind of what that youve done what kind of,Ses01F_impro04_M015
09741001010475 im there in front of them  im telling them what im good at,Ses01F_impro04_F016
10048501034700 yeah  but the piece of paper helps too,Ses01F_impro04_M016
10278001054150 why  its a piece of paper,Ses01F_impro04_F017
10497001077800 no  but it has an outline you know,Ses01F_impro04_M017
10617001118600 i just dont want this paper trail you know  i just dont want things following me around like,Ses01F_impro04_F018
11166001177250 i know  okay  well um maybe,Ses01F_impro04_M018
11492001223100 its just you know ive had this problem before  youre not the first person to tell me that i need a resume but,Ses01F_impro04_F019
11846001197700 yeah,Ses01F_impro04_M019
12150001234200 okay yeah  i would imagine,Ses01F_impro04_M020
12240001299300 i justi just think its kind of prejudiced and they are really discriminating against people who just arent that way,Ses01F_impro04_F020
12943001391600 well sometimes you have to do things that you dont necessarily like to do to have a job but the job affords you money you wont have to be taking the bus right now,Ses01F_impro04_M021
13374001374400 thats baloney thats baloney,Ses01F_impro04_F021
13813001398900 please,Ses01F_impro04_F022
13952191418225 maybe get a car,Ses01F_impro04_M022
14491251495100 i just you know think you should try a little harder maybe,Ses01F_impro04_M023
14855001528500 you think that youre better than me because i dont have a car,Ses01F_impro04_F023
15184001540300 i didnt say that,Ses01F_impro04_M024
15318001552925 you know youre riding the bus too,Ses01F_impro04_F024
15460001578000 i am riding the bus but by choice,Ses01F_impro04_M025
15716251597000 why  what choice,Ses01F_impro04_F025
15895001613500 to save the environment carpool,Ses01F_impro04_M026
16107871637800 youre saving the environment mmhmm,Ses01F_impro04_F026
16212001647825 yes  one less car at a time,Ses01F_impro04_M027
16439251675650 interesting  thats fantastic,Ses01F_impro04_F027
16547001667100 mmhmm,Ses01F_impro04_M028
16705001714300 you know you dont have to take out your frustration on me you know just because,Ses01F_impro04_M029
17083001728400 im not frustrated,Ses01F_impro04_F028
17175001752600 you cant get a job and refuse to have a resume,Ses01F_impro04_M030
17527001784300 who do you think you are,Ses01F_impro04_F029
17800331808650 i dont think im anyone,Ses01F_impro04_M031
18030251834875 you are so high and mighty  i just,Ses01F_impro04_F030
18282001855400 i ii didnt okay,Ses01F_impro04_M032
18447001888700 oh  im saving the environment im riding this car because i i want to,Ses01F_impro04_F031
18612001874625 what  no,Ses01F_impro04_M033
18801001907100 what oh  so now youre,Ses01F_impro04_M034
18912001920200 the bus im riding the bus because i want to,Ses01F_impro04_F032
19128001951300 you know what  you dont have to take your anger and your hurt out on me,Ses01F_impro04_M035
19358751994325 i can not you are not here by choice  nobody would ride this bus by choice,Ses01F_impro04_F033
20021502020825 why not,Ses01F_impro04_M036
00424000052300 hi,Ses01F_impro05_F000
00361000051900 hi  thanks for waiting,Ses01F_impro05_M000
00526000071600 yeah this is the fourth line that i have been in,Ses01F_impro05_F001
00521000064400 can i help you,Ses01F_impro05_M001
00660000077100 uh huh,Ses01F_impro05_M002
00735000088500 i need my bag,Ses01F_impro05_F002
00832000098000 okay,Ses01F_impro05_M003
00920000130200 i flew in over three hours ago ive been in four different lines,Ses01F_impro05_F003
01226000137800 okay,Ses01F_impro05_M004
01304000227400 i waited the entire baggage i waited for the whole baggage carousel four times  they told me to go to the next one  i waited through that for three planes and now im here,Ses01F_impro05_F004
02184000259000 okay  great  im really sorry that you had to do that  whats your last name  lets start there,Ses01F_impro05_M005
02535000267600 nash,Ses01F_impro05_F005
02599000277272 okay,Ses01F_impro05_M006
02824000299100 no g,Ses01F_impro05_F006
02829000341425 all right okay  and you lost your bag is that that the issue,Ses01F_impro05_M007
03219000335000 yes,Ses01F_impro05_F007
03378000359000 flight seven fourteen,Ses01F_impro05_F008
03470000365200 uhhuh,Ses01F_impro05_M008
03671000440300 am i going to be getting like free tickets free mileage when can i expect my bag here,Ses01F_impro05_F009
03691000427600 yeah yeah i dont see i dont see any,Ses01F_impro05_M009
04386000499700 i dont see any record of it and iusually when i dont see a record of it that means um,Ses01F_impro05_M010
04997000702600 weve mistakenly lost your baggage  were very sorry  on behalf of jet blue i would like to apologize for any inconvenience  i am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us  im very sorry once again,Ses01F_impro05_M011
06955000737600 oh are you kidding me,Ses01F_impro05_F010
07038000731400 for such an inconvenience and your bag but,Ses01F_impro05_M012
07387000755375 is this a joke,Ses01F_impro05_F011
07355000749900 yeah,Ses01F_impro05_M013
07503000764800 no no,Ses01F_impro05_M014
07561000807300 are there candid cameras  is this that movie theres that show right  airplane airline,Ses01F_impro05_F012
08022000832425 no no  this is real,Ses01F_impro05_M015
08275000860600 so youll give me money and then ill get my bag,Ses01F_impro05_F013
08572000939575 no  im just giving you money the bag is gone  if its not here im really sorry there is nothing i can do because,Ses01F_impro05_M016
09400501004000 this is the only track record that we have and if its not listed here then its probably not anywhere,Ses01F_impro05_M017
09952001029000 youre kidding me this is a joke,Ses01F_impro05_F014
10055001036800 once again im really im really sorry,Ses01F_impro05_M018
10300501185000 do you have any idea fifty dollars  thats supposed to replace everything that i have  do you understand how much i have packed in there not only does it have sentimental value it cant be replaced like that  it was incredibly expensive,Ses01F_impro05_F015
11128001128100 yes,Ses01F_impro05_M019
11804001193700 i know,Ses01F_impro05_M020
11853001224400 we flew in from paris  ive been shopping for three weeks,Ses01F_impro05_F016
12119001292300 im very sorry  but if you see the sign thats right behind me here it spells it out really clearly that we are not held liable,Ses01F_impro05_M021
12748501368500 i dont care what youre freaking sign says  somebody somebody needs to replace everything ive got there and give me money for my inconvenience,Ses01F_impro05_F017
13102001332500 okay calm,Ses01F_impro05_M022
13619001435000 actually we are not necessarily liable to give you to even give you this fifty dollars so its actually its actually really,Ses01F_impro05_M023
13771501401100 do you understand who my husband is,Ses01F_impro05_F018
14022501456000 if youre if youre if youre looking for a lawsuit baby youve found it,Ses01F_impro05_F019
14485001511600 we are actually not even allowed  you know like we dont have to give you this fifty dollars  we dont have to do that,Ses01F_impro05_M024
14936501538000 ohoh  its a gift  youreyoure helping me out here,Ses01F_impro05_F020
15133501527100 its a gift,Ses01F_impro05_M025
15283251585800 you know the airlines can not be held responsible for every bag of luggage that comes through here,Ses01F_impro05_M026
15560001603600 you are cruising for a bruising  you are in so much trouble,Ses01F_impro05_F021
15966001613700 with the amount of,Ses01F_impro05_M027
16041001637975 whos in charge  who is the president of jet blue,Ses01F_impro05_F022
16325001669900 um actually i dont know i dont know oh really,Ses01F_impro05_M028
16388001658000 because i probably know him,Ses01F_impro05_F023
16633001677100 yeah,Ses01F_impro05_F024
16715001736300 well then maybe you can just call him and he can give you more money  but right now all i can do,Ses01F_impro05_M029
17109001742000 i dont want money i want my clothes,Ses01F_impro05_F025
17373251782625 right now all i can do is just give you this fifty dollars im really sorry,Ses01F_impro05_M030
17760251790900 whats your name,Ses01F_impro05_F026
17859001808700 oh  my name is sean hi,Ses01F_impro05_M031
17922001838450 sean  great do you have a badge number or something,Ses01F_impro05_F027
18314001893875 badge number  uh no  you can just take my employee number i guess,Ses01F_impro05_M032
18878001908975 okay  ill do that,Ses01F_impro05_F028
19023001969000 why  have i done something wrong  have i given you bad service  i feel like i have done the best i could,Ses01F_impro05_M033
19538001993300 i dont think you have done everything you could do because i dont have my bag here yet,Ses01F_impro05_F029
19866002051700 if you want you can write a letter  i can give you the address yes  an angry,Ses01F_impro05_M034
20286002061700 a letter ill make a personal phone call,Ses01F_impro05_F030
20563002119400 or you can make a phone call  but i think a letter might be a little more in my impression letters have more,Ses01F_impro05_M035
01146000147400 im sorry joy,Ses01F_impro06_M000
01479390181700 its okay,Ses01F_impro06_F000
01849000249100 is there anything i can get you  do you want me to take care of anything for you or,Ses01F_impro06_M001
02402000256900 no no no,Ses01F_impro06_F001
02512000265600 pick up anything,Ses01F_impro06_M002
02607000276500 no,Ses01F_impro06_F002
02897000350200 you know you are welcome to stay at my house if you want to just check out for a couple days and hang out,Ses01F_impro06_M003
03445000357800 thats sweet,Ses01F_impro06_F003
03607000380400 thank you,Ses01F_impro06_F004
03960250462900 i went to see her headstone a week or two ago,Ses01F_impro06_F005
04734000593800 i used to go to cemeteries a lot before she died  i just you know i felt like they were urban oasis you know there is always this green in the city,Ses01F_impro06_F006
05617000574900 hmm,Ses01F_impro06_M004
05945250674525 so i was like wandering around before  it takes forever to find her headstone i always lose it you know,Ses01F_impro06_F007
07022000801300 so i was looking at this other one and there was like a piece of candy there and i thought that i would take the candy and put it on her headstone  and,Ses01F_impro06_F008
,F:Umm.
08016000877400 this woman came up and you know it was hers it was her person that was there,Ses01F_impro06_F009
08696000886300 oh  she was there,Ses01F_impro06_M005
08783000936700 yeah  and she was like thats pathetic i hope you enjoy it,Ses01F_impro06_F010
10183001169100 and i you know i mean i said i was sorry and i brought it back to her kind of and i like put it on the ground and she was like no its fine  she was like i would rather have her back honestly,Ses01F_impro06_F011
10778001092700 mmhmm,Ses01F_impro06_M006
11707001260400 i dont know  it just like i felt so bad because i shouldnt have done it  i dont know  whatever,Ses01F_impro06_F012
12547001271900 yeah,Ses01F_impro06_M007
13295751344900 i dont know,Ses01F_impro06_F013
13440001364900 how long were you there for,Ses01F_impro06_M008
13596001379500 at the cemetery,Ses01F_impro06_F014
13709001384400 mmhmm,Ses01F_impro06_M009
13806851410500 couple hours,Ses01F_impro06_F015
14184001494375 i brought i brought chuck with me he went to redlands yeah for the day  we ran through the sprinklers,Ses01F_impro06_F016
14409001456800 oh really,Ses01F_impro06_M010
15507001583800 you ran through the sprinklers in the cemetery,Ses01F_impro06_M011
15808001633500 it was hotlipsmack,Ses01F_impro06_F017
16561001681000 is it a big cemetery,Ses01F_impro06_M012
16764001748400 yeah  its huge  redlands is an old city so they have lots and lots of stones,Ses01F_impro06_F018
17439001771500 oh so theyre like really old too really old ones,Ses01F_impro06_M013
17635001780100 yeah,Ses01F_impro06_F019
18256001977300 its weird  whenever i go back to town i think of her  i mean its like  i mean we grew up together and she died when we were twenty one  and yeah  she had cancer she had two brain tumors,Ses01F_impro06_F020
19775502143400 my best friend heather  shes got a we have a we built this like little  theres a park prospect park  and there is like a garden section of it that we set up for her,Ses01F_impro06_F021
21750002224100 she used to have these poetry parties on memorial day,Ses01F_impro06_F022
21973002210300 mmhmm,Ses01F_impro06_M014
22352002275500 umm yeah,Ses01F_impro06_F023
22908002359800 and the last time before she died i remember she couldnt really stand umm,Ses01F_impro06_F024
23753002564800 but i mean she could but it was so it was kind of sitting at her feet holding her up and she had these poems she had memorized  and i remember looking up she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head  it was cool,Ses01F_impro06_F025
25535002573100 mmhmm,Ses01F_impro06_M015
26655002753100 some i guess  she memorized this one john dunn its called death be not proud and,Ses01F_impro06_F026
,F:Mmhmm.
26299002661750 so she wrote a lot of poetry,Ses01F_impro06_M016
27538002816000 theres another one i cant remember,Ses01F_impro06_F027
28201003111400 i remember too when we were  she died at ucla  she had brain surgery and there was not much hope to begin with but i gave blood for her surgery her mom and i before so we dropped her off in the waiting room and then we were giving blood and came back  and she in her wheelchair like can hardly do anything reciting her poetry for these people like in the waiting room  all she needs is a god damn audience  you know,Ses01F_impro06_F028
30824003100100 mmhmmmmhmmmmhmm,Ses01F_impro06_M017
00297000047800 did you get the letter,Ses01F_impro07_M000
00395000105900 yes  theres a big envelope it says youre in i know,Ses01F_impro07_F000
00753250119600 yeah that is so awesome,Ses01F_impro07_M001
did you,M:
01392000190900 oh my god what are you going to do laughter,Ses01F_impro07_M002
01136000165575 so i have to move back to the ghetto buti know,Ses01F_impro07_F001
02068000280600 ohyeah i bet youre really excited oh  thats what loans are for  right exactly,Ses01F_impro07_M003
01961000316500 im really excited  yeah i dont know how im going to pay for anything but i also yeah  loans too yeah i applied though for a bunch of grants and scholarships so im still waiting to hear on that,Ses01F_impro07_F002
03091500388100 oh  good good  thats awesome are you going to stay around here  or are you going to like get a different neighborhood you going to move to a different neighborhood,Ses01F_impro07_M004
03252000349000 oh i know i know i know i know,Ses01F_impro07_F003
03716250424900 i dont know  i spend so much time commuting as it is id rather,Ses01F_impro07_F004
04117000469975 this is so i am so happy that youre going to stay  youre not going towe should totally throw a party,Ses01F_impro07_M005
04295500458850 i know we should throw a party,Ses01F_impro07_F005
04628000554100 at arapaho we could afford that garbage yeah  so what are you doing this summer though  youre staying around too yeah,Ses01F_impro07_F006
04711000528125 a rapper party ho yeah okay,Ses01F_impro07_M006
05416000632800 i am just yeah  im sticking around im just doing my thing  im living here  im so glad youre going to stay im so glad youre going to be here yeah woo,Ses01F_impro07_M007
,F:Yay.
06302000727500 its a relief too i mean i was thinking i was going to have to pack up all of my stuff but yeah hooray for usc,Ses01F_impro07_F007
06462750672400 yeah  big time,Ses01F_impro07_M008
06772500740325 mmhmm mmhmm yay so what major  what are you doing,Ses01F_impro07_M009
07350500807800 umm itsits uhhits critical studies its a really prestigious program so they say,Ses01F_impro07_F008
07662000781700 oh okay,Ses01F_impro07_M010
07884000813600 ooh fancy,Ses01F_impro07_M011
08102750833050 yeah  im not sure,Ses01F_impro07_F009
08265750871025 is this a masters or a phd  or can you nice,Ses01F_impro07_M012
08451000883100 ummphd laughter,Ses01F_impro07_F010
08758750906500 thats good  dont you have to like teach a class too when you do that,Ses01F_impro07_M013
08956000948150 um yeah yeah  im a ta for two sessions mmhmm,Ses01F_impro07_F011
09429000993700 teacher mrs nash i have a question,Ses01F_impro07_M014
09486001007400 so i get to mold young minds mrs  thats my mother,Ses01F_impro07_F012
09998751105400 you have to get married  well you are married to chuck  youre mrs nash  not to be confused with mrs dash which is the popular seasoning,Ses01F_impro07_M015
,F:[GARBAGE]
10326001104600 i would be like oh right right right,Ses01F_impro07_F013
11054001162800 mrs nash  thats so awesome though,Ses01F_impro07_M016
11568001264100 yeah yeah im excited hooray  and then ill be a millionaire once i graduate you understand because thats the way it works,Ses01F_impro07_F014
11628001198507 yayschools fun,Ses01F_impro07_M017
12325751280400 of course right  thats where the real money is being a student,Ses01F_impro07_M018
12743001303175 yeah  totally laughter,Ses01F_impro07_F015
12854001416850 thats how you get the big bucks  are you messing with the chair dont ruin it,Ses01F_impro07_M019
13331251423625 i know i made such a mess of it the entire time  the last three things ive done ive ruined everything i think mmhmm  yeah,Ses01F_impro07_F016
00621000093200 whats he going to say,Ses01F_script01_1_F000
00935000128955 maybe we should tell him before he sees it,Ses01F_script01_1_F001
01198920151219 he saw it,Ses01F_script01_1_M000
01430630195526 how could he see it  i was the first one up he was still in bed,Ses01F_script01_1_F002
01904560223962 he was out here when it broke,Ses01F_script01_1_M001
02232000246667 when,Ses01F_script01_1_F003
02480000359971 four o clock this morning  i heard a crack and i woke up and looked out  he was standing right over there when it cracked,Ses01F_script01_1_M002
03537990390900 what was he doing out here at four o clock in the morning,Ses01F_script01_1_F004
